County,Population,Median Age,Household Income,Per Capita Income,Householder Owner Rate
Alamance ,"157,844",39.7,"$44,281.00","$25,157.00",%64.2
Alexander ,"37,159",42.8,"$44,523.00","$22,655.00",%71.3
Alleghany ,"10,935",49.2,"$38,944.00","$21,153.00",%72.8
Anson ,"25,531",40.4,"$38,123.00","$19,105.00",%60.9
Ashe ,"26,833",47.2,"$40,293.00","$23,650.00",%73.2
Avery ,"17,535",44.5,"$37,109.00","$21,704.00",%64.7
Beaufort ,"47,316",45.4,"$41,101.00","$24,657.00",%69.3
Bertie ,"19,913",45.0,"$31,287.00","$18,319.00",%66.2
Bladen ,"34,130",42.8,"$32,396.00","$20,839.00",%67.1
Brunswick ,"122,586",51.9,"$51,164.00","$29,707.00",%75.5
Buncombe ,"252,268",41.9,"$48,464.00","$29,590.00",%64.8
Burke ,"88,898",43.6,"$40,854.00","$21,885.00",%69.5
Cabarrus ,"196,716",37.9,"$60,716.00","$29,143.00",%70.5
Caldwell ,"81,805",44.1,"$40,735.00","$21,991.00",%70.5
Camden ,"10,336",40.8,"$68,327.00","$27,468.00",%76.9
Carteret ,"68,699",47.4,"$51,584.00","$30,903.00",%71.6
Caswell ,"22,833",45.4,"$39,428.00","$21,692.00",%73.2
Catawba ,"156,182",41.2,"$48,649.00","$25,960.00",%68.0
Chatham ,"68,364",46.3,"$59,684.00","$36,933.00",%74.8
Cherokee ,"27,463",50.8,"$38,115.00","$21,152.00",%75.5
Chowan ,"14,370",44.7,"$41,979.00","$23,542.00",%67.3
Clay ,"10,753",50.7,"$37,070.00","$25,433.00",%77.9
Cleveland ,"97,038",41.7,"$40,002.00","$21,664.00",%65.3
Columbus ,"56,589",41.9,"$36,261.00","$21,849.00",%67.0
Craven ,"103,374",36.2,"$49,391.00","$26,830.00",%60.4
Cumberland ,"332,766",31.0,"$44,737.00","$23,627.00",%50.3
Currituck ,"25,247",42.9,"$65,758.00","$29,340.00",%80.5
Dare ,"35,412",46.0,"$55,640.00","$30,898.00",%66.3
Davidson ,"164,118",42.1,"$45,806.00","$24,231.00",%70.0
Davie ,"41,766",44.6,"$53,493.00","$29,234.00",%73.7
Duplin ,"59,350",40.0,"$36,679.00","$18,529.00",%67.4
Durham ,"300,865",35.0,"$56,393.00","$33,151.00",%52.2
Edgecombe ,"54,032",40.3,"$32,929.00","$18,946.00",%57.3
Forsyth ,"368,362",38.2,"$48,369.00","$28,640.00",%61.4
Franklin ,"63,866",40.9,"$48,344.00","$23,862.00",%69.4
Gaston ,"214,049",40.1,"$46,626.00","$24,937.00",%64.6
Gates ,"11,601",45.0,"$52,481.00","$24,335.00",%80.1
Graham ,"8,607",45.0,"$36,030.00","$19,095.00",%83.5
Granville ,"58,503",42.5,"$52,089.00","$24,859.00",%69.6
Greene ,"21,059",40.4,"$36,989.00","$18,662.00",%58.6
Guilford ,"517,197",37.2,"$49,253.00","$28,582.00",%58.2
Halifax ,"52,300",42.7,"$33,573.00","$20,406.00",%61.2
Harnett ,"128,753",33.9,"$50,323.00","$22,351.00",%61.4
Haywood ,"59,854",47.5,"$45,538.00","$27,166.00",%70.2
Henderson ,"112,156",46.9,"$50,454.00","$28,290.00",%72.2
Hertford ,"24,262",42.4,"$35,806.00","$18,383.00",%57.2
Hoke ,"52,571",31.9,"$45,713.00","$19,654.00",%64.4
Hyde ,"5,507",42.7,"$40,532.00","$19,181.00",%58.7
Iredell ,"169,798",40.4,"$55,957.00","$30,393.00",%70.9
Jackson ,"41,725",37.2,"$45,078.00","$23,674.00",%58.4
Johnston ,"186,308",37.9,"$54,610.00","$24,872.00",%69.2
Jones ,"9,776",45.5,"$37,256.00","$21,058.00",%70.5
Lee ,"59,805",37.9,"$49,272.00","$23,613.00",%64.8
