County,Population,Median Age,Household Income,Per Capita Income,Householder Owner Rate,Zipcode,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Date
Alamance,"157,844",39.7,"$44,281.00","$25,157.00",%64.2,37001,36.04,-79.4,58,0,0,0,2020-04-21T00:00:00Z
Alexander,"37,159",42.8,"$44,523.00","$22,655.00",%71.3,37003,35.92,-81.18,4,0,0,0,2020-04-21T00:00:00Z
Alleghany,"10,935",49.2,"$38,944.00","$21,153.00",%72.8,37005,36.49,-81.13,2,0,0,0,2020-04-21T00:00:00Z
Anson,"25,531",40.4,"$38,123.00","$19,105.00",%60.9,37007,34.97,-80.1,19,0,0,0,2020-04-21T00:00:00Z
Ashe,"26,833",47.2,"$40,293.00","$23,650.00",%73.2,37009,36.43,-81.5,4,0,0,0,2020-04-21T00:00:00Z
Beaufort,"17,535",44.5,"$37,109.00","$21,704.00",%64.7,37013,35.49,-76.84,15,0,0,0,2020-04-21T00:00:00Z
Bertie,"47,316",45.4,"$41,101.00","$24,657.00",%69.3,37015,36.07,-76.97,25,1,0,0,2020-04-21T00:00:00Z
Bladen,"19,913",45.0,"$31,287.00","$18,319.00",%66.2,37017,34.61,-78.56,4,0,0,0,2020-04-21T00:00:00Z
Brunswick,"34,130",42.8,"$32,396.00","$20,839.00",%67.1,37019,34.07,-78.23,38,2,0,0,2020-04-21T00:00:00Z
Buncombe,"122,586",51.9,"$51,164.00","$29,707.00",%75.5,37021,35.61,-82.53,48,3,0,0,2020-04-21T00:00:00Z
Burke,"252,268",41.9,"$48,464.00","$29,590.00",%64.8,37023,35.75,-81.71,75,8,0,0,2020-04-21T00:00:00Z
Cabarrus,"88,898",43.6,"$40,854.00","$21,885.00",%69.5,37025,35.39,-80.55,223,7,0,0,2020-04-21T00:00:00Z
Caldwell,"196,716",37.9,"$60,716.00","$29,143.00",%70.5,37027,35.95,-81.55,23,0,0,0,2020-04-21T00:00:00Z
Carteret,"81,805",44.1,"$40,735.00","$21,991.00",%70.5,37031,34.89,-76.54,24,2,0,0,2020-04-21T00:00:00Z
Caswell,"10,336",40.8,"$68,327.00","$27,468.00",%76.9,37033,36.39,-79.33,8,0,0,0,2020-04-21T00:00:00Z
Catawba,"68,699",47.4,"$51,584.00","$30,903.00",%71.6,37035,35.66,-81.21,46,1,0,0,2020-04-21T00:00:00Z
Chatham,"22,833",45.4,"$39,428.00","$21,692.00",%73.2,37037,35.7,-79.26,131,1,0,0,2020-04-21T00:00:00Z
Cherokee,"156,182",41.2,"$48,649.00","$25,960.00",%68.0,37039,35.13,-84.06,18,1,0,0,2020-04-21T00:00:00Z
Chowan,"68,364",46.3,"$59,684.00","$36,933.00",%74.8,37041,36.13,-76.6,6,0,0,0,2020-04-21T00:00:00Z
Clay,"27,463",50.8,"$38,115.00","$21,152.00",%75.5,37043,35.06,-83.74,6,0,0,0,2020-04-21T00:00:00Z
Cleveland,"14,370",44.7,"$41,979.00","$23,542.00",%67.3,37045,35.34,-81.55,44,2,0,0,2020-04-21T00:00:00Z
Columbus,"10,753",50.7,"$37,070.00","$25,433.00",%77.9,37047,34.27,-78.66,61,3,0,0,2020-04-21T00:00:00Z
Craven,"97,038",41.7,"$40,002.00","$21,664.00",%65.3,37049,35.12,-77.08,36,3,0,0,2020-04-21T00:00:00Z
Cumberland,"56,589",41.9,"$36,261.00","$21,849.00",%67.0,37051,35.05,-78.83,127,6,0,0,2020-04-21T00:00:00Z
Currituck,"103,374",36.2,"$49,391.00","$26,830.00",%60.4,37053,36.36,-75.96,3,0,0,0,2020-04-21T00:00:00Z
Dare,"332,766",31.0,"$44,737.00","$23,627.00",%50.3,37055,35.67,-75.72,15,1,0,0,2020-04-21T00:00:00Z
