County,Density,Population,County_State,State,State Code,County Code,County_Name,State_Name
79,78.9886008,21069,"Greene County, North Carolina",37,37,79,Greene County, North Carolina
87,112.5749637,62317,"Haywood County, North Carolina",37,37,87,Haywood County, North Carolina
121,67.63373543,14964,"Mitchell County, North Carolina",37,37,121,Mitchell County, North Carolina
41,80.75541915,13943,"Chowan County, North Carolina",37,37,41,Chowan County, North Carolina
5,47.50915721,11137,"Alleghany County, North Carolina",37,37,5,Alleghany County, North Carolina
45,210.9948948,97947,"Cleveland County, North Carolina",37,37,45,Cleveland County, North Carolina
49,144.5555646,102139,"Craven County, North Carolina",37,37,49,Craven County, North Carolina
65,101.8374812,51472,"Edgecombe County, North Carolina",37,37,65,Edgecombe County, North Carolina
77,113.6165962,60443,"Granville County, North Carolina",37,37,77,Granville County, North Carolina
85,228.5225859,135976,"Harnett County, North Carolina",37,37,85,Harnett County, North Carolina
93,141.5806162,55234,"Hoke County, North Carolina",37,37,93,Hoke County, North Carolina
89,314.8389384,117417,"Henderson County, North Carolina",37,37,89,Henderson County, North Carolina
95,8.062444729,4937,"Hyde County, North Carolina",37,37,95,Hyde County, North Carolina
119,2120.695236,1110356,"Mecklenburg County, North Carolina",37,37,119,Mecklenburg County, North Carolina
147,277.0546156,180742,"Pitt County, North Carolina",37,37,147,Pitt County, North Carolina
39,62.80884165,28612,"Cherokee County, North Carolina",37,37,39,Cherokee County, North Carolina
53,106.0010731,27763,"Currituck County, North Carolina",37,37,53,Currituck County, North Carolina
193,90.66715164,68412,"Wilkes County, North Carolina",37,37,193,Wilkes County, North Carolina
67,937.4353234,382295,"Forsyth County, North Carolina",37,37,67,Forsyth County, North Carolina
3,144.2275221,37497,"Alexander County, North Carolina",37,37,3,Alexander County, North Carolina
55,96.57156237,37009,"Dare County, North Carolina",37,37,55,Dare County, North Carolina
185,45.9511292,19731,"Warren County, North Carolina",37,37,185,Warren County, North Carolina
195,222.5582669,81801,"Wilson County, North Carolina",37,37,195,Wilson County, North Carolina
73,33.94475391,11562,"Gates County, North Carolina",37,37,73,Gates County, North Carolina
75,28.91087812,8441,"Graham County, North Carolina",37,37,75,Graham County, North Carolina
117,49.16470865,22440,"Martin County, North Carolina",37,37,117,Martin County, North Carolina
115,48.3858304,21755,"Madison County, North Carolina",37,37,115,Madison County, North Carolina
143,54.4684114,13463,"Perquimans County, North Carolina",37,37,143,Perquimans County, North Carolina
149,87.19031968,20724,"Polk County, North Carolina",37,37,149,Polk County, North Carolina
151,183.6394736,143667,"Randolph County, North Carolina",37,37,151,Randolph County, North Carolina
169,101.5357524,45591,"Stokes County, North Carolina",37,37,169,Stokes County, North Carolina
27,174.1460817,82178,"Caldwell County, North Carolina",37,37,27,Caldwell County, North Carolina
35,397.5131969,159551,"Catawba County, North Carolina",37,37,35,Catawba County, North Carolina
31,136.8649266,69473,"Carteret County, North Carolina",37,37,31,Carteret County, North Carolina
97,316.571762,181806,"Iredell County, North Carolina",37,37,97,Iredell County, North Carolina
131,36.30299822,19483,"Northampton County, North Carolina",37,37,131,Northampton County, North Carolina
127,174.4825438,94298,"Nash County, North Carolina",37,37,127,Nash County, North Carolina
137,37.81806162,12726,"Pamlico County, North Carolina",37,37,137,Pamlico County, North Carolina
159,277.7977242,142088,"Rowan County, North Carolina",37,37,159,Rowan County, North Carolina
157,160.8977921,91010,"Rockingham County, North Carolina",37,37,157,Rockingham County, North Carolina
181,176.4459632,44535,"Vance County, North Carolina",37,37,181,Vance County, North Carolina
179,379.0898884,239859,"Union County, North Carolina",37,37,179,Union County, North Carolina
17,37.40237721,32722,"Bladen County, North Carolina",37,37,17,Bladen County, North Carolina
15,27.0990253,18947,"Bertie County, North Carolina",37,37,15,Bertie County, North Carolina
187,33.41896902,11580,"Washington County, North Carolina",37,37,187,Washington County, North Carolina
29,45.21722112,10867,"Camden County, North Carolina",37,37,29,Camden County, North Carolina
43,52.24123542,11231,"Clay County, North Carolina",37,37,43,Clay County, North Carolina
51,514.1405862,335509,"Cumberland County, North Carolina",37,37,51,Cumberland County, North Carolina
71,631.1439914,224529,"Gaston County, North Carolina",37,37,71,Gaston County, North Carolina
81,831.6347372,537174,"Guilford County, North Carolina",37,37,81,Guilford County, North Carolina
99,89.46727558,43938,"Jackson County, North Carolina",37,37,99,Jackson County, North Carolina
125,144.5942249,100880,"Moore County, North Carolina",37,37,125,Moore County, North Carolina
139,175.5289219,39824,"Pasquotank County, North Carolina",37,37,139,Pasquotank County, North Carolina
155,137.8952725,130625,"Robeson County, North Carolina",37,37,155,Robeson County, North Carolina
167,158.9488628,62806,"Stanly County, North Carolina",37,37,167,Stanly County, North Carolina
173,27.04231475,14271,"Swain County, North Carolina",37,37,173,Swain County, North Carolina
183,1331.72379,1111761,"Wake County, North Carolina",37,37,183,Wake County, North Carolina
7,45.99771329,24446,"Anson County, North Carolina",37,37,7,Anson County, North Carolina
37,109.238285,74470,"Chatham County, North Carolina",37,37,37,Chatham County, North Carolina
111,104.001623,45756,"McDowell County, North Carolina",37,37,111,McDowell County, North Carolina
69,141.6936623,69685,"Franklin County, North Carolina",37,37,69,Franklin County, North Carolina
101,264.5772215,209339,"Johnston County, North Carolina",37,37,101,Johnston County, North Carolina
103,19.9822726,9419,"Jones County, North Carolina",37,37,103,Jones County, North Carolina
113,69.54893578,35858,"Macon County, North Carolina",37,37,113,Macon County, North Carolina
145,100.6540542,39490,"Person County, North Carolina",37,37,145,Person County, North Carolina
19,168.1832419,142820,"Brunswick County, North Carolina",37,37,19,Brunswick County, North Carolina
175,90.88067685,34385,"Transylvania County, North Carolina",37,37,175,Transylvania County, North Carolina
9,63.996291,27203,"Ashe County, North Carolina",37,37,9,Ashe County, North Carolina
13,56.47689451,46994,"Beaufort County, North Carolina",37,37,13,Beaufort County, North Carolina
47,59.16933405,55508,"Columbus County, North Carolina",37,37,47,Columbus County, North Carolina
107,140.1925597,55949,"Lenoir County, North Carolina",37,37,107,Lenoir County, North Carolina
109,291.0695012,86111,"Lincoln County, North Carolina",37,37,109,Lincoln County, North Carolina
123,55.28166834,27173,"Montgomery County, North Carolina",37,37,123,Montgomery County, North Carolina
133,259.736952,197938,"Onslow County, North Carolina",37,37,133,Onslow County, North Carolina
135,373.4691468,148476,"Orange County, North Carolina",37,37,135,Orange County, North Carolina
153,94.63798754,44829,"Richmond County, North Carolina",37,37,153,Richmond County, North Carolina
161,118.5436269,67029,"Rutherford County, North Carolina",37,37,161,Rutherford County, North Carolina
163,67.17865075,63531,"Sampson County, North Carolina",37,37,163,Sampson County, North Carolina
171,134.4900085,71783,"Surry County, North Carolina",37,37,171,Surry County, North Carolina
11,70.98387112,17557,"Avery County, North Carolina",37,37,11,Avery County, North Carolina
21,397.855674,261191,"Buncombe County, North Carolina",37,37,21,Buncombe County, North Carolina
23,178.7405121,90485,"Burke County, North Carolina",37,37,23,Burke County, North Carolina
25,599.1669585,216453,"Cabarrus County, North Carolina",37,37,25,Cabarrus County, North Carolina
33,53.14002564,22604,"Caswell County, North Carolina",37,37,33,Caswell County, North Carolina
59,162.4835263,42846,"Davie County, North Carolina",37,37,59,Davie County, North Carolina
57,302.9922774,167609,"Davidson County, North Carolina",37,37,57,Davidson County, North Carolina
61,72.09617334,58741,"Duplin County, North Carolina",37,37,61,Duplin County, North Carolina
63,1122.178467,321488,"Durham County, North Carolina",37,37,63,Durham County, North Carolina
91,67.04259497,23677,"Hertford County, North Carolina",37,37,91,Hertford County, North Carolina
105,242.2117383,61779,"Lee County, North Carolina",37,37,105,Lee County, North Carolina
129,1219.619607,234473,"New Hanover County, North Carolina",37,37,129,New Hanover County, North Carolina
141,72.37497206,63060,"Pender County, North Carolina",37,37,141,Pender County, North Carolina
191,222.290649,123131,"Wayne County, North Carolina",37,37,191,Wayne County, North Carolina
165,109.114949,34823,"Scotland County, North Carolina",37,37,165,Scotland County, North Carolina
189,179.8006495,56177,"Watauga County, North Carolina",37,37,189,Watauga County, North Carolina
83,69.09958403,50010,"Halifax County, North Carolina",37,37,83,Halifax County, North Carolina
1,400.3091346,169509,"Alamance County, North Carolina",37,37,1,Alamance County, North Carolina
177,10.27699985,4016,"Tyrrell County, North Carolina",37,37,177,Tyrrell County, North Carolina
197,112.4582325,37667,"Yadkin County, North Carolina",37,37,197,Yadkin County, North Carolina
199,57.803747,18069,"Yancey County, North Carolina",37,37,199,Yancey County, North Carolina
