Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
United States of America,US,North Carolina,Alamance,37001,36.04,-79.4,50,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Alexander,37003,35.92,-81.18,3,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Alleghany,37005,36.49,-81.13,2,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Anson,37007,34.97,-80.1,16,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Ashe,37009,36.43,-81.5,4,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Beaufort,37013,35.49,-76.84,14,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Bertie,37015,36.07,-76.97,21,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Bladen,37017,34.61,-78.56,2,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Brunswick,37019,34.07,-78.23,36,2,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Buncombe,37021,35.61,-82.53,47,3,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Burke,37023,35.75,-81.71,68,6,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Cabarrus,37025,35.39,-80.55,208,4,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Nash,37127,35.97,-77.98,61,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,New Hanover,37129,34.26,-77.87,68,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Northampton,37131,36.42,-77.4,72,2,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Onslow,37133,34.73,-77.43,37,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Orange,37135,36.06,-79.12,187,3,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Pamlico,37137,35.15,-76.67,6,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Pasquotank,37139,36.27,-76.25,20,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Pender,37141,34.52,-77.9,7,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Perquimans,37143,36.18,-76.41,8,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Person,37145,36.39,-78.97,16,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Pitt,37147,35.6,-77.37,93,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Polk,37149,35.28,-82.17,10,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Johnston,37101,35.52,-78.37,123,9,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Jones,37103,35.02,-77.36,9,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Lee,37105,35.48,-79.18,34,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Lenoir,37107,35.24,-77.64,21,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Lincoln,37109,35.49,-81.22,19,0,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Macon,37113,35.15,-83.42,2,1,0,0,2020-04-19T00:00:00Z
United States of America,US,North Carolina,Martin,37117,35.84,-77.11,9,0,0,0,2020-04-19T00:00:00Z
